county,year_month,organism,n_tested,n_positive,pct_positive
Salt Lake,2024-10,Escherichia coli,2046,578,28.3
Salt Lake,2024-11,Escherichia coli,2045,577,28.2
Salt Lake,2024-12,Escherichia coli,2106,650,30.9
Salt Lake,2025-01,Escherichia coli,1925,570,29.6
Salt Lake,2025-02,Escherichia coli,2024,638,31.5
Salt Lake,2025-03,Escherichia coli,1968,615,31.2
Salt Lake,2025-04,Escherichia coli,1909,581,30.4
Salt Lake,2025-05,Escherichia coli,1760,540,30.7
Salt Lake,2025-06,Escherichia coli,1817,547,30.1
Salt Lake,2025-07,Escherichia coli,1765,561,31.8
Salt Lake,2025-08,Escherichia coli,1735,546,31.5
Salt Lake,2025-09,Escherichia coli,1860,560,30.1
Salt Lake,2025-10,Escherichia coli,2054,619,30.1
Salt Lake,2025-11,Escherichia coli,1954,608,31.1
Salt Lake,2025-12,Escherichia coli,1957,609,31.1
Salt Lake,2026-01,Escherichia coli,1860,581,31.2
Salt Lake,2026-02,Escherichia coli,1872,572,30.6
Salt Lake,2026-03,Escherichia coli,1991,587,29.5
Salt Lake,2026-04,Escherichia coli,1834,556,30.3
Utah,2024-05,Escherichia coli,1119,338,30.2
Utah,2024-06,Escherichia coli,1169,357,30.5
Utah,2024-07,Escherichia coli,1088,333,30.6
Utah,2024-08,Escherichia coli,1121,359,32.0
Utah,2024-09,Escherichia coli,1087,329,30.3
Utah,2024-10,Escherichia coli,1202,363,30.2
Utah,2024-11,Escherichia coli,1181,371,31.4
Utah,2024-12,Escherichia coli,1254,375,29.9
Utah,2025-01,Escherichia coli,1124,341,30.3
Utah,2025-02,Escherichia coli,1183,350,29.6
Utah,2025-03,Escherichia coli,1100,336,30.5
Utah,2025-04,Escherichia coli,1170,321,27.4
Utah,2025-05,Escherichia coli,1154,352,30.5
Utah,2025-06,Escherichia coli,1149,362,31.5
Utah,2025-07,Escherichia coli,1216,359,29.5
Utah,2025-08,Escherichia coli,1147,373,32.5
Utah,2025-09,Escherichia coli,1182,376,31.8
Utah,2025-10,Escherichia coli,1110,354,31.9
Utah,2025-11,Escherichia coli,1180,339,28.7
Utah,2025-12,Escherichia coli,1234,358,29.0
Utah,2026-01,Escherichia coli,1159,354,30.5
Utah,2026-02,Escherichia coli,1136,337,29.7
Utah,2026-03,Escherichia coli,1154,341,29.5
Utah,2026-04,Escherichia coli,1184,353,29.8
Washington,2024-05,Escherichia coli,346,105,30.3
Washington,2024-06,Escherichia coli,308,95,30.8
Washington,2024-07,Escherichia coli,324,106,32.7
Washington,2024-08,Escherichia coli,331,85,25.7
Washington,2024-09,Escherichia coli,339,105,31.0
Washington,2024-10,Escherichia coli,271,91,33.6
Washington,2024-11,Escherichia coli,298,93,31.2
Washington,2024-12,Escherichia coli,311,95,30.5
Washington,2025-01,Escherichia coli,326,105,32.2
Washington,2025-02,Escherichia coli,306,105,34.3
Washington,2025-03,Escherichia coli,305,89,29.2
Washington,2025-04,Escherichia coli,303,99,32.7
Washington,2025-05,Escherichia coli,353,105,29.7
Washington,2025-06,Escherichia coli,318,109,34.3
Washington,2025-07,Escherichia coli,319,88,27.6
Washington,2025-08,Escherichia coli,352,113,32.1
Washington,2025-09,Escherichia coli,358,102,28.5
Washington,2025-10,Escherichia coli,294,82,27.9
Washington,2025-11,Escherichia coli,335,114,34.0
Washington,2025-12,Escherichia coli,329,115,35.0
Washington,2026-01,Escherichia coli,333,100,30.0
Washington,2026-02,Escherichia coli,344,97,28.2
Washington,2026-03,Escherichia coli,312,108,34.6
Washington,2026-04,Escherichia coli,313,88,28.1
Salt Lake,2024-05,Staphylococcus aureus,3001,188,6.3
Salt Lake,2024-06,Staphylococcus aureus,2825,165,5.8
Salt Lake,2024-07,Staphylococcus aureus,2739,137,5.0
Salt Lake,2024-08,Staphylococcus aureus,2837,184,6.5
Salt Lake,2024-09,Staphylococcus aureus,2893,188,6.5
Salt Lake,2024-10,Staphylococcus aureus,3116,179,5.7
Salt Lake,2024-11,Staphylococcus aureus,3082,174,5.6
Salt Lake,2024-12,Staphylococcus aureus,3241,206,6.4
Salt Lake,2025-01,Staphylococcus aureus,2874,169,5.9
Salt Lake,2025-02,Staphylococcus aureus,3038,188,6.2
Salt Lake,2025-03,Staphylococcus aureus,2959,181,6.1
Salt Lake,2025-04,Staphylococcus aureus,2854,173,6.1
Salt Lake,2025-05,Staphylococcus aureus,2579,142,5.5
Salt Lake,2025-06,Staphylococcus aureus,2594,139,5.4
Salt Lake,2025-07,Staphylococcus aureus,2529,153,6.0
Salt Lake,2025-08,Staphylococcus aureus,2566,146,5.7
Salt Lake,2025-09,Staphylococcus aureus,2739,177,6.5
Salt Lake,2025-10,Staphylococcus aureus,3169,196,6.2
Salt Lake,2025-11,Staphylococcus aureus,2990,180,6.0
Salt Lake,2025-12,Staphylococcus aureus,2941,188,6.4
Salt Lake,2026-01,Staphylococcus aureus,2842,163,5.7
Salt Lake,2026-02,Staphylococcus aureus,2871,191,6.7
Salt Lake,2026-03,Staphylococcus aureus,3050,172,5.6
Salt Lake,2026-04,Staphylococcus aureus,2744,150,5.5
Utah,2024-05,Staphylococcus aureus,1620,126,7.8
Utah,2024-06,Staphylococcus aureus,1674,106,6.3
Utah,2024-07,Staphylococcus aureus,1572,96,6.1
Utah,2024-08,Staphylococcus aureus,1646,105,6.4
Utah,2024-09,Staphylococcus aureus,1582,111,7.0
Utah,2024-10,Staphylococcus aureus,1779,132,7.4
Utah,2024-11,Staphylococcus aureus,1779,104,5.8
Utah,2024-12,Staphylococcus aureus,1854,112,6.0
Utah,2025-01,Staphylococcus aureus,1710,104,6.1
Utah,2025-02,Staphylococcus aureus,1782,122,6.8
Utah,2025-03,Staphylococcus aureus,1656,116,7.0
Utah,2025-04,Staphylococcus aureus,1762,137,7.8
Utah,2025-05,Staphylococcus aureus,1642,101,6.2
Utah,2025-06,Staphylococcus aureus,1618,110,6.8
Utah,2025-07,Staphylococcus aureus,1720,100,5.8
Utah,2025-08,Staphylococcus aureus,1684,97,5.8
Utah,2025-09,Staphylococcus aureus,1767,132,7.5
Utah,2025-10,Staphylococcus aureus,1668,120,7.2
Utah,2025-11,Staphylococcus aureus,1807,121,6.7
Utah,2025-12,Staphylococcus aureus,1885,132,7.0
Utah,2026-01,Staphylococcus aureus,1740,111,6.4
Utah,2026-02,Staphylococcus aureus,1674,115,6.9
Utah,2026-03,Staphylococcus aureus,1754,122,7.0
Utah,2026-04,Staphylococcus aureus,1767,115,6.5
Washington,2024-05,Staphylococcus aureus,492,40,8.1
Washington,2024-06,Staphylococcus aureus,455,35,7.7
Washington,2024-07,Staphylococcus aureus,471,23,4.9
Washington,2024-08,Staphylococcus aureus,475,33,6.9
Washington,2024-09,Staphylococcus aureus,497,34,6.8
Washington,2024-10,Staphylococcus aureus,451,42,9.3
Washington,2024-11,Staphylococcus aureus,472,35,7.4
Washington,2024-12,Staphylococcus aureus,479,49,10.2
Washington,2025-01,Staphylococcus aureus,476,22,4.6
Washington,2025-02,Staphylococcus aureus,447,32,7.2
Washington,2025-03,Staphylococcus aureus,474,29,6.1
Washington,2025-04,Staphylococcus aureus,455,24,5.3
Washington,2025-05,Staphylococcus aureus,507,36,7.1
Washington,2025-06,Staphylococcus aureus,473,37,7.8
Washington,2025-07,Staphylococcus aureus,457,31,6.8
Washington,2025-08,Staphylococcus aureus,516,34,6.6
Washington,2025-09,Staphylococcus aureus,515,36,7.0
Washington,2025-10,Staphylococcus aureus,491,35,7.1
Washington,2025-11,Staphylococcus aureus,508,38,7.5
Washington,2025-12,Staphylococcus aureus,502,38,7.6
Washington,2026-01,Staphylococcus aureus,512,33,6.4
Washington,2026-02,Staphylococcus aureus,519,41,7.9
Washington,2026-03,Staphylococcus aureus,485,33,6.8
Washington,2026-04,Staphylococcus aureus,495,37,7.5
Salt Lake,2024-05,MRSA,3001,140,4.7
Salt Lake,2024-06,MRSA,2825,118,4.2
Salt Lake,2024-07,MRSA,2739,114,4.2
Salt Lake,2024-08,MRSA,2837,118,4.2
Salt Lake,2024-09,MRSA,2893,123,4.3
Salt Lake,2024-10,MRSA,3116,151,4.8
Salt Lake,2024-11,MRSA,3082,137,4.4
Salt Lake,2024-12,MRSA,3241,160,4.9
Salt Lake,2025-01,MRSA,2874,107,3.7
Salt Lake,2025-02,MRSA,3038,109,3.6
Salt Lake,2025-03,MRSA,2959,126,4.3
Salt Lake,2025-04,MRSA,2854,98,3.4
Salt Lake,2025-05,MRSA,2579,111,4.3
Salt Lake,2025-06,MRSA,2594,108,4.2
Salt Lake,2025-07,MRSA,2529,111,4.4
Salt Lake,2025-08,MRSA,2566,104,4.1
Salt Lake,2025-09,MRSA,2739,111,4.1
Salt Lake,2025-10,MRSA,3169,125,3.9
Salt Lake,2025-11,MRSA,2990,113,3.8
Salt Lake,2025-12,MRSA,2941,125,4.3
Salt Lake,2026-01,MRSA,2842,112,3.9
Salt Lake,2026-02,MRSA,2871,124,4.3
Salt Lake,2026-03,MRSA,3050,134,4.4
Salt Lake,2026-04,MRSA,2744,108,3.9
Utah,2024-05,MRSA,1620,53,3.3
Utah,2024-06,MRSA,1674,56,3.3
Utah,2024-07,MRSA,1572,66,4.2
Utah,2024-08,MRSA,1646,63,3.8
Utah,2024-09,MRSA,1582,72,4.6
Utah,2024-10,MRSA,1779,62,3.5
Utah,2024-11,MRSA,1779,64,3.6
Utah,2024-12,MRSA,1854,63,3.4
Utah,2025-01,MRSA,1710,61,3.6
Utah,2025-02,MRSA,1782,68,3.8
Utah,2025-03,MRSA,1656,54,3.3
Utah,2025-04,MRSA,1762,70,4.0
Utah,2025-05,MRSA,1642,58,3.5
Utah,2025-06,MRSA,1618,65,4.0
Utah,2025-07,MRSA,1720,67,3.9
Utah,2025-08,MRSA,1684,58,3.4
Utah,2025-09,MRSA,1767,56,3.2
Utah,2025-10,MRSA,1668,57,3.4
Utah,2025-11,MRSA,1807,66,3.7
Utah,2025-12,MRSA,1885,70,3.7
Utah,2026-01,MRSA,1740,57,3.3
Utah,2026-02,MRSA,1674,61,3.6
Utah,2026-03,MRSA,1754,70,4.0
Utah,2026-04,MRSA,1767,76,4.3
Washington,2024-05,MRSA,492,16,3.3
Washington,2024-06,MRSA,455,19,4.2
Washington,2024-07,MRSA,471,12,2.5
Washington,2024-08,MRSA,475,13,2.7
Washington,2024-09,MRSA,497,20,4.0
Washington,2024-10,MRSA,451,8,1.8
Washington,2024-11,MRSA,472,12,2.5
Washington,2024-12,MRSA,479,10,2.1
Washington,2025-01,MRSA,476,19,4.0
Washington,2025-02,MRSA,447,12,2.7
Washington,2025-03,MRSA,474,15,3.2
Washington,2025-04,MRSA,455,13,2.9
Washington,2025-05,MRSA,507,14,2.8
Washington,2025-06,MRSA,473,16,3.4
Washington,2025-07,MRSA,457,9,2.0
Washington,2025-08,MRSA,516,16,3.1
Washington,2025-09,MRSA,515,12,2.3
Washington,2025-10,MRSA,491,19,3.9
Washington,2025-11,MRSA,508,17,3.3
Washington,2025-12,MRSA,502,15,3.0
Washington,2026-01,MRSA,512,7,1.4
Washington,2026-02,MRSA,519,18,3.5
Washington,2026-03,MRSA,485,13,2.7
Washington,2026-04,MRSA,495,14,2.8
Salt Lake,2024-05,Klebsiella pneumoniae,2364,182,7.7
Salt Lake,2024-06,Klebsiella pneumoniae,2299,191,8.3
Salt Lake,2024-07,Klebsiella pneumoniae,2224,152,6.8
Salt Lake,2024-08,Klebsiella pneumoniae,2277,177,7.8
Salt Lake,2024-09,Klebsiella pneumoniae,2353,192,8.2
Salt Lake,2024-10,Klebsiella pneumoniae,2567,183,7.1
Salt Lake,2024-11,Klebsiella pneumoniae,2556,201,7.9
Salt Lake,2024-12,Klebsiella pneumoniae,2667,203,7.6
Salt Lake,2025-01,Klebsiella pneumoniae,2395,186,7.8
Salt Lake,2025-02,Klebsiella pneumoniae,2550,190,7.5
Salt Lake,2025-03,Klebsiella pneumoniae,2433,198,8.1
Salt Lake,2025-04,Klebsiella pneumoniae,2294,185,8.1
Salt Lake,2025-05,Klebsiella pneumoniae,2081,159,7.6
Salt Lake,2025-06,Klebsiella pneumoniae,2110,142,6.7
Salt Lake,2025-07,Klebsiella pneumoniae,1996,160,8.0
Salt Lake,2025-08,Klebsiella pneumoniae,2059,166,8.1
Salt Lake,2025-09,Klebsiella pneumoniae,2202,168,7.6
Salt Lake,2025-10,Klebsiella pneumoniae,2598,213,8.2
Salt Lake,2025-11,Klebsiella pneumoniae,2427,182,7.5
Salt Lake,2025-12,Klebsiella pneumoniae,2441,197,8.1
Salt Lake,2026-01,Klebsiella pneumoniae,2378,174,7.3
Salt Lake,2026-02,Klebsiella pneumoniae,2372,183,7.7
Salt Lake,2026-03,Klebsiella pneumoniae,2484,200,8.1
Salt Lake,2026-04,Klebsiella pneumoniae,2248,165,7.3
Utah,2024-05,Klebsiella pneumoniae,1322,103,7.8
Utah,2024-06,Klebsiella pneumoniae,1368,95,6.9
Utah,2024-07,Klebsiella pneumoniae,1264,105,8.3
Utah,2024-08,Klebsiella pneumoniae,1340,87,6.5
Utah,2024-09,Klebsiella pneumoniae,1293,123,9.5
Utah,2024-10,Klebsiella pneumoniae,1478,104,7.0
Utah,2024-11,Klebsiella pneumoniae,1480,101,6.8
Utah,2024-12,Klebsiella pneumoniae,1571,135,8.6
Utah,2025-01,Klebsiella pneumoniae,1413,124,8.8
Utah,2025-02,Klebsiella pneumoniae,1486,118,7.9
Utah,2025-03,Klebsiella pneumoniae,1354,107,7.9
Utah,2025-04,Klebsiella pneumoniae,1412,118,8.4
Utah,2025-05,Klebsiella pneumoniae,1355,98,7.2
Utah,2025-06,Klebsiella pneumoniae,1307,101,7.7
Utah,2025-07,Klebsiella pneumoniae,1387,90,6.5
Utah,2025-08,Klebsiella pneumoniae,1367,103,7.5
Utah,2025-09,Klebsiella pneumoniae,1415,112,7.9
Utah,2025-10,Klebsiella pneumoniae,1392,100,7.2
Utah,2025-11,Klebsiella pneumoniae,1508,118,7.8
Utah,2025-12,Klebsiella pneumoniae,1542,124,8.0
Utah,2026-01,Klebsiella pneumoniae,1435,115,8.0
Utah,2026-02,Klebsiella pneumoniae,1420,118,8.3
Utah,2026-03,Klebsiella pneumoniae,1436,107,7.5
Utah,2026-04,Klebsiella pneumoniae,1453,101,7.0
Washington,2024-05,Klebsiella pneumoniae,403,33,8.2
Washington,2024-06,Klebsiella pneumoniae,357,27,7.6
Washington,2024-07,Klebsiella pneumoniae,367,30,8.2
Washington,2024-08,Klebsiella pneumoniae,391,34,8.7
Washington,2024-09,Klebsiella pneumoniae,410,31,7.6
Washington,2024-10,Klebsiella pneumoniae,351,37,10.5
Washington,2024-11,Klebsiella pneumoniae,376,25,6.6
Washington,2024-12,Klebsiella pneumoniae,399,33,8.3
Washington,2025-01,Klebsiella pneumoniae,400,32,8.0
Washington,2025-02,Klebsiella pneumoniae,373,25,6.7
Washington,2025-03,Klebsiella pneumoniae,383,28,7.3
Washington,2025-04,Klebsiella pneumoniae,369,36,9.8
Washington,2025-05,Klebsiella pneumoniae,418,29,6.9
Washington,2025-06,Klebsiella pneumoniae,361,21,5.8
Washington,2025-07,Klebsiella pneumoniae,362,25,6.9
Washington,2025-08,Klebsiella pneumoniae,406,37,9.1
Washington,2025-09,Klebsiella pneumoniae,439,40,9.1
Washington,2025-10,Klebsiella pneumoniae,382,34,8.9
Washington,2025-11,Klebsiella pneumoniae,417,34,8.2
Washington,2025-12,Klebsiella pneumoniae,424,28,6.6
Washington,2026-01,Klebsiella pneumoniae,426,36,8.5
Washington,2026-02,Klebsiella pneumoniae,438,38,8.7
Washington,2026-03,Klebsiella pneumoniae,389,27,6.9
Washington,2026-04,Klebsiella pneumoniae,394,23,5.8
Salt Lake,2024-05,Pseudomonas aeruginosa,2385,161,6.8
Salt Lake,2024-06,Pseudomonas aeruginosa,2234,142,6.4
Salt Lake,2024-07,Pseudomonas aeruginosa,2120,141,6.7
Salt Lake,2024-08,Pseudomonas aeruginosa,2190,140,6.4
Salt Lake,2024-09,Pseudomonas aeruginosa,2276,130,5.7
Salt Lake,2024-10,Pseudomonas aeruginosa,2425,171,7.1
Salt Lake,2024-11,Pseudomonas aeruginosa,2412,175,7.3
Salt Lake,2024-12,Pseudomonas aeruginosa,2568,173,6.7
Salt Lake,2025-01,Pseudomonas aeruginosa,2267,170,7.5
Salt Lake,2025-02,Pseudomonas aeruginosa,2433,158,6.5
Salt Lake,2025-03,Pseudomonas aeruginosa,2342,168,7.2
Salt Lake,2025-04,Pseudomonas aeruginosa,2212,153,6.9
Salt Lake,2025-05,Pseudomonas aeruginosa,2031,123,6.1
Salt Lake,2025-06,Pseudomonas aeruginosa,2000,132,6.6
