county,year_month,organism,drug,n_tested,n_susceptible,pct_susceptible
Salt Lake,2024-06,Haemophilus influenzae,Azithromycin,30,25,83.3
Salt Lake,2024-06,Haemophilus influenzae,Ceftriaxone,30,26,86.7
Salt Lake,2024-06,Haemophilus influenzae,Doxycycline,30,27,90.0
Salt Lake,2024-06,Klebsiella pneumoniae,Amoxicillin-Clavulanate,191,144,75.4
Salt Lake,2024-06,Klebsiella pneumoniae,Ceftriaxone,191,149,78.0
Salt Lake,2024-06,Klebsiella pneumoniae,Ciprofloxacin,191,140,73.3
Salt Lake,2024-06,Klebsiella pneumoniae,Ertapenem,191,170,89.0
Salt Lake,2024-06,Klebsiella pneumoniae,Nitrofurantoin,191,71,37.2
Salt Lake,2024-06,MRSA,Clindamycin,118,74,62.7
Salt Lake,2024-06,MRSA,Doxycycline,118,106,89.8
Salt Lake,2024-06,MRSA,Linezolid,118,112,94.9
Salt Lake,2024-06,MRSA,TMP-SMX,118,101,85.6
Salt Lake,2024-06,MRSA,Vancomycin,118,106,89.8
Salt Lake,2024-06,Pseudomonas aeruginosa,Cefepime,151,112,74.2
Salt Lake,2024-06,Pseudomonas aeruginosa,Ceftazidime,151,125,82.8
Salt Lake,2024-06,Pseudomonas aeruginosa,Ciprofloxacin,151,114,75.5
Salt Lake,2024-06,Pseudomonas aeruginosa,Meropenem,151,123,81.5
Salt Lake,2024-06,Pseudomonas aeruginosa,Piperacillin-Tazobactam,151,121,80.1
Salt Lake,2024-06,Staphylococcus aureus,Cephalexin,165,155,93.9
Salt Lake,2024-06,Staphylococcus aureus,Clindamycin,165,137,83.0
Salt Lake,2024-06,Staphylococcus aureus,Doxycycline,165,150,90.9
Salt Lake,2024-06,Staphylococcus aureus,Oxacillin,165,150,90.9
Salt Lake,2024-06,Staphylococcus aureus,TMP-SMX,165,149,90.3
Salt Lake,2024-06,Staphylococcus aureus,Vancomycin,165,159,96.4
Salt Lake,2024-06,Streptococcus pneumoniae,Amoxicillin,44,36,81.8
Salt Lake,2024-06,Streptococcus pneumoniae,Azithromycin,44,29,65.9
Salt Lake,2024-06,Streptococcus pneumoniae,Ceftriaxone,44,40,90.9
Salt Lake,2024-06,Streptococcus pneumoniae,Doxycycline,44,32,72.7
Salt Lake,2024-06,Streptococcus pneumoniae,Levofloxacin,44,38,86.4
Salt Lake,2024-06,Streptococcus pneumoniae,Penicillin,44,38,86.4
Salt Lake,2024-07,Enterococcus species,Ampicillin,144,95,66.0
Salt Lake,2024-07,Enterococcus species,Linezolid,144,138,95.8
Salt Lake,2024-07,Enterococcus species,Nitrofurantoin,144,112,77.8
Salt Lake,2024-07,Enterococcus species,Vancomycin,144,113,78.5
Salt Lake,2024-07,Escherichia coli,Amoxicillin-Clavulanate,659,407,61.8
Salt Lake,2024-07,Escherichia coli,Ampicillin,659,260,39.5
Salt Lake,2024-07,Escherichia coli,Ceftriaxone,659,562,85.3
Salt Lake,2024-07,Escherichia coli,Ciprofloxacin,659,472,71.6
Salt Lake,2024-07,Escherichia coli,Fosfomycin,659,603,91.5
Salt Lake,2024-07,Escherichia coli,Nitrofurantoin,659,598,90.7
Salt Lake,2024-07,Escherichia coli,TMP-SMX,659,444,67.4
Salt Lake,2024-07,Haemophilus influenzae,Amoxicillin,20,16,80.0
Salt Lake,2024-07,Haemophilus influenzae,Amoxicillin-Clavulanate,20,17,85.0
Salt Lake,2024-07,Haemophilus influenzae,Azithromycin,20,20,100.0
Salt Lake,2024-07,Haemophilus influenzae,Ceftriaxone,20,17,85.0
Salt Lake,2024-07,Haemophilus influenzae,Doxycycline,20,18,90.0
Salt Lake,2024-07,Klebsiella pneumoniae,Amoxicillin-Clavulanate,152,107,70.4
Salt Lake,2024-07,Klebsiella pneumoniae,Ceftriaxone,152,128,84.2
Salt Lake,2024-07,Klebsiella pneumoniae,Ciprofloxacin,152,120,78.9
Salt Lake,2024-07,Klebsiella pneumoniae,Ertapenem,152,138,90.8
Salt Lake,2024-07,Klebsiella pneumoniae,Nitrofurantoin,152,64,42.1
Salt Lake,2024-07,MRSA,Clindamycin,114,76,66.7
Salt Lake,2024-07,MRSA,Doxycycline,114,101,88.6
Salt Lake,2024-07,MRSA,Linezolid,114,107,93.9
Salt Lake,2024-07,MRSA,TMP-SMX,114,100,87.7
Salt Lake,2024-07,MRSA,Vancomycin,114,109,95.6
Salt Lake,2024-07,Pseudomonas aeruginosa,Cefepime,152,113,74.3
Salt Lake,2024-07,Pseudomonas aeruginosa,Ceftazidime,152,122,80.3
Salt Lake,2024-07,Pseudomonas aeruginosa,Ciprofloxacin,152,105,69.1
Salt Lake,2024-07,Pseudomonas aeruginosa,Meropenem,152,124,81.6
Salt Lake,2024-07,Pseudomonas aeruginosa,Piperacillin-Tazobactam,152,123,80.9
Salt Lake,2024-07,Staphylococcus aureus,Cephalexin,137,123,89.8
Salt Lake,2024-07,Staphylococcus aureus,Clindamycin,137,99,72.3
Salt Lake,2024-07,Staphylococcus aureus,Doxycycline,137,123,89.8
Salt Lake,2024-07,Staphylococcus aureus,Oxacillin,137,130,94.9
Salt Lake,2024-07,Staphylococcus aureus,TMP-SMX,137,118,86.1
Salt Lake,2024-07,Staphylococcus aureus,Vancomycin,137,128,93.4
Salt Lake,2024-07,Streptococcus pneumoniae,Amoxicillin,39,35,89.7
Salt Lake,2024-07,Streptococcus pneumoniae,Azithromycin,39,24,61.5
Salt Lake,2024-07,Streptococcus pneumoniae,Ceftriaxone,39,35,89.7
Salt Lake,2024-07,Streptococcus pneumoniae,Doxycycline,39,37,94.9
Salt Lake,2024-07,Streptococcus pneumoniae,Levofloxacin,39,35,89.7
Salt Lake,2024-07,Streptococcus pneumoniae,Penicillin,39,26,66.7
Salt Lake,2024-08,Enterococcus species,Ampicillin,168,114,67.9
Salt Lake,2024-08,Enterococcus species,Linezolid,168,162,96.4
Salt Lake,2024-08,Enterococcus species,Nitrofurantoin,168,122,72.6
Salt Lake,2024-08,Enterococcus species,Vancomycin,168,131,78.0
Salt Lake,2024-08,Escherichia coli,Amoxicillin-Clavulanate,606,387,63.9
Salt Lake,2024-08,Escherichia coli,Ampicillin,606,234,38.6
Salt Lake,2024-08,Escherichia coli,Ceftriaxone,606,524,86.5
Salt Lake,2024-08,Escherichia coli,Ciprofloxacin,606,416,68.6
Salt Lake,2024-08,Escherichia coli,Fosfomycin,606,553,91.3
Salt Lake,2024-08,Escherichia coli,Nitrofurantoin,606,531,87.6
Salt Lake,2024-08,Escherichia coli,TMP-SMX,606,438,72.3
Salt Lake,2024-08,Haemophilus influenzae,Amoxicillin,31,22,71.0
Salt Lake,2024-08,Haemophilus influenzae,Amoxicillin-Clavulanate,31,27,87.1
Salt Lake,2024-08,Haemophilus influenzae,Azithromycin,31,26,83.9
Salt Lake,2024-08,Haemophilus influenzae,Ceftriaxone,31,29,93.5
Salt Lake,2024-08,Haemophilus influenzae,Doxycycline,31,28,90.3
Salt Lake,2024-08,Klebsiella pneumoniae,Amoxicillin-Clavulanate,177,125,70.6
Salt Lake,2024-08,Klebsiella pneumoniae,Ceftriaxone,177,144,81.4
Salt Lake,2024-08,Klebsiella pneumoniae,Ciprofloxacin,177,143,80.8
Salt Lake,2024-08,Klebsiella pneumoniae,Ertapenem,177,160,90.4
Salt Lake,2024-08,Klebsiella pneumoniae,Nitrofurantoin,177,55,31.1
Salt Lake,2024-08,MRSA,Clindamycin,118,73,61.9
Salt Lake,2024-08,MRSA,Doxycycline,118,104,88.1
Salt Lake,2024-08,MRSA,Linezolid,118,107,90.7
Salt Lake,2024-08,MRSA,TMP-SMX,118,101,85.6
Salt Lake,2024-08,MRSA,Vancomycin,118,109,92.4
Salt Lake,2024-08,Pseudomonas aeruginosa,Cefepime,145,114,78.6
Salt Lake,2024-08,Pseudomonas aeruginosa,Ceftazidime,145,116,80.0
Salt Lake,2024-08,Pseudomonas aeruginosa,Ciprofloxacin,145,102,70.3
Salt Lake,2024-08,Pseudomonas aeruginosa,Meropenem,145,115,79.3
Salt Lake,2024-08,Pseudomonas aeruginosa,Piperacillin-Tazobactam,145,109,75.2
Salt Lake,2024-08,Staphylococcus aureus,Cephalexin,184,169,91.8
Salt Lake,2024-08,Staphylococcus aureus,Clindamycin,184,148,80.4
Salt Lake,2024-08,Staphylococcus aureus,Doxycycline,184,169,91.8
Salt Lake,2024-08,Staphylococcus aureus,Oxacillin,184,172,93.5
Salt Lake,2024-08,Staphylococcus aureus,TMP-SMX,184,166,90.2
Salt Lake,2024-08,Staphylococcus aureus,Vancomycin,184,175,95.1
Salt Lake,2024-08,Streptococcus pneumoniae,Amoxicillin,36,33,91.7
Salt Lake,2024-08,Streptococcus pneumoniae,Azithromycin,36,16,44.4
Salt Lake,2024-08,Streptococcus pneumoniae,Ceftriaxone,36,32,88.9
Salt Lake,2024-08,Streptococcus pneumoniae,Doxycycline,36,26,72.2
Salt Lake,2024-08,Streptococcus pneumoniae,Levofloxacin,36,31,86.1
Salt Lake,2024-08,Streptococcus pneumoniae,Penicillin,36,26,72.2
Salt Lake,2024-09,Enterococcus species,Ampicillin,146,104,71.2
Salt Lake,2024-09,Enterococcus species,Linezolid,146,135,92.5
Salt Lake,2024-09,Enterococcus species,Nitrofurantoin,146,114,78.1
Salt Lake,2024-09,Enterococcus species,Vancomycin,146,115,78.8
Salt Lake,2024-09,Escherichia coli,Amoxicillin-Clavulanate,599,362,60.4
Salt Lake,2024-09,Escherichia coli,Ampicillin,599,239,39.9
Salt Lake,2024-09,Escherichia coli,Ceftriaxone,599,523,87.3
Salt Lake,2024-09,Escherichia coli,Ciprofloxacin,599,400,66.8
Salt Lake,2024-09,Escherichia coli,Fosfomycin,599,549,91.7
Salt Lake,2024-09,Escherichia coli,Nitrofurantoin,599,542,90.5
Salt Lake,2024-09,Escherichia coli,TMP-SMX,599,423,70.6
Salt Lake,2024-09,Haemophilus influenzae,Amoxicillin,41,30,73.2
Salt Lake,2024-09,Haemophilus influenzae,Amoxicillin-Clavulanate,41,35,85.4
Salt Lake,2024-09,Haemophilus influenzae,Azithromycin,41,31,75.6
Salt Lake,2024-09,Haemophilus influenzae,Ceftriaxone,41,35,85.4
Salt Lake,2024-09,Haemophilus influenzae,Doxycycline,41,30,73.2
Salt Lake,2024-09,Klebsiella pneumoniae,Amoxicillin-Clavulanate,192,135,70.3
Salt Lake,2024-09,Klebsiella pneumoniae,Ceftriaxone,192,150,78.1
Salt Lake,2024-09,Klebsiella pneumoniae,Ciprofloxacin,192,149,77.6
Salt Lake,2024-09,Klebsiella pneumoniae,Ertapenem,192,177,92.2
Salt Lake,2024-09,Klebsiella pneumoniae,Nitrofurantoin,192,61,31.8
Salt Lake,2024-09,MRSA,Clindamycin,123,71,57.7
Salt Lake,2024-09,MRSA,Doxycycline,123,104,84.6
Salt Lake,2024-09,MRSA,Linezolid,123,111,90.2
Salt Lake,2024-09,MRSA,TMP-SMX,123,110,89.4
Salt Lake,2024-09,MRSA,Vancomycin,123,114,92.7
Salt Lake,2024-09,Pseudomonas aeruginosa,Cefepime,138,103,74.6
Salt Lake,2024-09,Pseudomonas aeruginosa,Ceftazidime,138,112,81.2
Salt Lake,2024-09,Pseudomonas aeruginosa,Ciprofloxacin,138,99,71.7
Salt Lake,2024-09,Pseudomonas aeruginosa,Meropenem,138,104,75.4
Salt Lake,2024-09,Pseudomonas aeruginosa,Piperacillin-Tazobactam,138,118,85.5
Salt Lake,2024-09,Staphylococcus aureus,Cephalexin,188,175,93.1
Salt Lake,2024-09,Staphylococcus aureus,Clindamycin,188,154,81.9
Salt Lake,2024-09,Staphylococcus aureus,Doxycycline,188,167,88.8
Salt Lake,2024-09,Staphylococcus aureus,Oxacillin,188,180,95.7
Salt Lake,2024-09,Staphylococcus aureus,TMP-SMX,188,166,88.3
Salt Lake,2024-09,Staphylococcus aureus,Vancomycin,188,176,93.6
Salt Lake,2024-09,Streptococcus pneumoniae,Amoxicillin,46,40,87.0
Salt Lake,2024-09,Streptococcus pneumoniae,Azithromycin,46,27,58.7
Salt Lake,2024-09,Streptococcus pneumoniae,Ceftriaxone,46,43,93.5
Salt Lake,2024-09,Streptococcus pneumoniae,Doxycycline,46,37,80.4
Salt Lake,2024-09,Streptococcus pneumoniae,Levofloxacin,46,42,91.3
Salt Lake,2024-09,Streptococcus pneumoniae,Penicillin,46,37,80.4
Salt Lake,2024-10,Enterococcus species,Ampicillin,108,78,72.2
Salt Lake,2024-10,Enterococcus species,Linezolid,108,101,93.5
Salt Lake,2024-10,Enterococcus species,Nitrofurantoin,108,85,78.7
Salt Lake,2024-10,Enterococcus species,Vancomycin,108,85,78.7
Salt Lake,2024-10,Escherichia coli,Amoxicillin-Clavulanate,602,393,65.3
Salt Lake,2024-10,Escherichia coli,Ampicillin,602,233,38.7
Salt Lake,2024-10,Escherichia coli,Ceftriaxone,602,504,83.7
Salt Lake,2024-10,Escherichia coli,Ciprofloxacin,602,425,70.6
Salt Lake,2024-10,Escherichia coli,Fosfomycin,602,552,91.7
Salt Lake,2024-10,Escherichia coli,Nitrofurantoin,602,544,90.4
Salt Lake,2024-10,Escherichia coli,TMP-SMX,602,432,71.8
Salt Lake,2024-10,Haemophilus influenzae,Amoxicillin,41,28,68.3
Salt Lake,2024-10,Haemophilus influenzae,Amoxicillin-Clavulanate,41,35,85.4
Salt Lake,2024-10,Haemophilus influenzae,Azithromycin,41,33,80.5
Salt Lake,2024-10,Haemophilus influenzae,Ceftriaxone,41,38,92.7
Salt Lake,2024-10,Haemophilus influenzae,Doxycycline,41,32,78.0
Salt Lake,2024-10,Klebsiella pneumoniae,Amoxicillin-Clavulanate,183,143,78.1
Salt Lake,2024-10,Klebsiella pneumoniae,Ceftriaxone,183,139,76.0
Salt Lake,2024-10,Klebsiella pneumoniae,Ciprofloxacin,183,142,77.6
Salt Lake,2024-10,Klebsiella pneumoniae,Ertapenem,183,162,88.5
Salt Lake,2024-10,Klebsiella pneumoniae,Nitrofurantoin,183,55,30.1
Salt Lake,2024-10,MRSA,Clindamycin,151,89,58.9
Salt Lake,2024-10,MRSA,Doxycycline,151,131,86.8
Salt Lake,2024-10,MRSA,Linezolid,151,141,93.4
Salt Lake,2024-10,MRSA,TMP-SMX,151,127,84.1
Salt Lake,2024-10,MRSA,Vancomycin,151,139,92.1
Salt Lake,2024-10,Pseudomonas aeruginosa,Cefepime,183,143,78.1
Salt Lake,2024-10,Pseudomonas aeruginosa,Ceftazidime,183,152,83.1
Salt Lake,2024-10,Pseudomonas aeruginosa,Ciprofloxacin,183,122,66.7
Salt Lake,2024-10,Pseudomonas aeruginosa,Meropenem,183,148,80.9
Salt Lake,2024-10,Pseudomonas aeruginosa,Piperacillin-Tazobactam,183,144,78.7
Salt Lake,2024-10,Staphylococcus aureus,Cephalexin,179,167,93.3
Salt Lake,2024-10,Staphylococcus aureus,Clindamycin,179,145,81.0
Salt Lake,2024-10,Staphylococcus aureus,Doxycycline,179,156,87.2
Salt Lake,2024-10,Staphylococcus aureus,Oxacillin,179,168,93.9
Salt Lake,2024-10,Staphylococcus aureus,TMP-SMX,179,156,87.2
Salt Lake,2024-10,Staphylococcus aureus,Vancomycin,179,166,92.7
Salt Lake,2024-10,Streptococcus pneumoniae,Amoxicillin,70,58,82.9
Salt Lake,2024-10,Streptococcus pneumoniae,Azithromycin,70,43,61.4
Salt Lake,2024-10,Streptococcus pneumoniae,Ceftriaxone,70,61,87.1
Salt Lake,2024-10,Streptococcus pneumoniae,Doxycycline,70,61,87.1
Salt Lake,2024-10,Streptococcus pneumoniae,Levofloxacin,70,64,91.4
Salt Lake,2024-10,Streptococcus pneumoniae,Penicillin,70,51,72.9
Salt Lake,2024-11,Enterococcus species,Ampicillin,146,88,60.3
Salt Lake,2024-11,Enterococcus species,Linezolid,146,135,92.5
Salt Lake,2024-11,Enterococcus species,Nitrofurantoin,146,109,74.7
Salt Lake,2024-11,Enterococcus species,Vancomycin,146,119,81.5
Salt Lake,2024-11,Escherichia coli,Amoxicillin-Clavulanate,606,375,61.9
Salt Lake,2024-11,Escherichia coli,Ampicillin,606,254,41.9
Salt Lake,2024-11,Escherichia coli,Ceftriaxone,606,511,84.3
Salt Lake,2024-11,Escherichia coli,Ciprofloxacin,606,409,67.5
Salt Lake,2024-11,Escherichia coli,Fosfomycin,606,549,90.6
Salt Lake,2024-11,Escherichia coli,Nitrofurantoin,606,548,90.4
Salt Lake,2024-11,Escherichia coli,TMP-SMX,606,436,71.9
Salt Lake,2024-11,Haemophilus influenzae,Amoxicillin,41,29,70.7
Salt Lake,2024-11,Haemophilus influenzae,Amoxicillin-Clavulanate,41,38,92.7
Salt Lake,2024-11,Haemophilus influenzae,Azithromycin,41,37,90.2
Salt Lake,2024-11,Haemophilus influenzae,Ceftriaxone,41,36,87.8
Salt Lake,2024-11,Haemophilus influenzae,Doxycycline,41,32,78.0
Salt Lake,2024-11,Klebsiella pneumoniae,Amoxicillin-Clavulanate,201,146,72.6
Salt Lake,2024-11,Klebsiella pneumoniae,Ceftriaxone,201,148,73.6
Salt Lake,2024-11,Klebsiella pneumoniae,Ciprofloxacin,201,144,71.6
Salt Lake,2024-11,Klebsiella pneumoniae,Ertapenem,201,187,93.0
Salt Lake,2024-11,Klebsiella pneumoniae,Nitrofurantoin,201,57,28.4
Salt Lake,2024-11,MRSA,Clindamycin,137,76,55.5
Salt Lake,2024-11,MRSA,Doxycycline,137,114,83.2
Salt Lake,2024-11,MRSA,Linezolid,137,124,90.5
Salt Lake,2024-11,MRSA,TMP-SMX,137,115,83.9
Salt Lake,2024-11,MRSA,Vancomycin,137,128,93.4
Salt Lake,2024-11,Pseudomonas aeruginosa,Cefepime,189,148,78.3
Salt Lake,2024-11,Pseudomonas aeruginosa,Ceftazidime,189,160,84.7
Salt Lake,2024-11,Pseudomonas aeruginosa,Ciprofloxacin,189,141,74.6
Salt Lake,2024-11,Pseudomonas aeruginosa,Meropenem,189,152,80.4
Salt Lake,2024-11,Pseudomonas aeruginosa,Piperacillin-Tazobactam,189,159,84.1
Salt Lake,2024-11,Staphylococcus aureus,Cephalexin,174,162,93.1
Salt Lake,2024-11,Staphylococcus aureus,Clindamycin,174,141,81.0
Salt Lake,2024-11,Staphylococcus aureus,Doxycycline,174,162,93.1
Salt Lake,2024-11,Staphylococcus aureus,Oxacillin,174,164,94.3
Salt Lake,2024-11,Staphylococcus aureus,TMP-SMX,174,160,92.0
Salt Lake,2024-11,Staphylococcus aureus,Vancomycin,174,161,92.5
Salt Lake,2024-11,Streptococcus pneumoniae,Amoxicillin,57,51,89.5
Salt Lake,2024-11,Streptococcus pneumoniae,Azithromycin,57,29,50.9
Salt Lake,2024-11,Streptococcus pneumoniae,Ceftriaxone,57,54,94.7
Salt Lake,2024-11,Streptococcus pneumoniae,Doxycycline,57,44,77.2
Salt Lake,2024-11,Streptococcus pneumoniae,Levofloxacin,57,47,82.5
Salt Lake,2024-11,Streptococcus pneumoniae,Penicillin,57,39,68.4
Salt Lake,2024-12,Enterococcus species,Ampicillin,149,97,65.1
Salt Lake,2024-12,Enterococcus species,Linezolid,149,145,97.3
Salt Lake,2024-12,Enterococcus species,Nitrofurantoin,149,108,72.5
Salt Lake,2024-12,Enterococcus species,Vancomycin,149,120,80.5
Salt Lake,2024-12,Escherichia coli,Amoxicillin-Clavulanate,679,431,63.5
Salt Lake,2024-12,Escherichia coli,Ampicillin,679,285,42.0
Salt Lake,2024-12,Escherichia coli,Ceftriaxone,679,593,87.3
Salt Lake,2024-12,Escherichia coli,Ciprofloxacin,679,464,68.3
Salt Lake,2024-12,Escherichia coli,Fosfomycin,679,619,91.2
Salt Lake,2024-12,Escherichia coli,Nitrofurantoin,679,600,88.4
Salt Lake,2024-12,Escherichia coli,TMP-SMX,679,485,71.4
Salt Lake,2024-12,Haemophilus influenzae,Amoxicillin,47,31,66.0
Salt Lake,2024-12,Haemophilus influenzae,Amoxicillin-Clavulanate,47,37,78.7
Salt Lake,2024-12,Haemophilus influenzae,Azithromycin,47,43,91.5
Salt Lake,2024-12,Haemophilus influenzae,Ceftriaxone,47,43,91.5
Salt Lake,2024-12,Haemophilus influenzae,Doxycycline,47,42,89.4
Salt Lake,2024-12,Klebsiella pneumoniae,Amoxicillin-Clavulanate,203,150,73.9
Salt Lake,2024-12,Klebsiella pneumoniae,Ceftriaxone,203,157,77.3
Salt Lake,2024-12,Klebsiella pneumoniae,Ciprofloxacin,203,167,82.3
Salt Lake,2024-12,Klebsiella pneumoniae,Ertapenem,203,183,90.1
Salt Lake,2024-12,Klebsiella pneumoniae,Nitrofurantoin,203,67,33.0
Salt Lake,2024-12,MRSA,Clindamycin,160,100,62.5
Salt Lake,2024-12,MRSA,Doxycycline,160,142,88.8
Salt Lake,2024-12,MRSA,Linezolid,160,149,93.1
Salt Lake,2024-12,MRSA,TMP-SMX,160,135,84.4
Salt Lake,2024-12,MRSA,Vancomycin,160,152,95.0
Salt Lake,2024-12,Pseudomonas aeruginosa,Cefepime,182,154,84.6
Salt Lake,2024-12,Pseudomonas aeruginosa,Ceftazidime,182,145,79.7
Salt Lake,2024-12,Pseudomonas aeruginosa,Ciprofloxacin,182,122,67.0
Salt Lake,2024-12,Pseudomonas aeruginosa,Meropenem,182,150,82.4
Salt Lake,2024-12,Pseudomonas aeruginosa,Piperacillin-Tazobactam,182,139,76.4
Salt Lake,2024-12,Staphylococcus aureus,Cephalexin,206,193,93.7
Salt Lake,2024-12,Staphylococcus aureus,Clindamycin,206,150,72.8
Salt Lake,2024-12,Staphylococcus aureus,Doxycycline,206,182,88.3
Salt Lake,2024-12,Staphylococcus aureus,Oxacillin,206,194,94.2
Salt Lake,2024-12,Staphylococcus aureus,TMP-SMX,206,183,88.8
Salt Lake,2024-12,Staphylococcus aureus,Vancomycin,206,191,92.7
Salt Lake,2024-12,Streptococcus pneumoniae,Amoxicillin,58,49,84.5
Salt Lake,2024-12,Streptococcus pneumoniae,Azithromycin,58,30,51.7
Salt Lake,2024-12,Streptococcus pneumoniae,Ceftriaxone,58,55,94.8
Salt Lake,2024-12,Streptococcus pneumoniae,Doxycycline,58,45,77.6
Salt Lake,2024-12,Streptococcus pneumoniae,Levofloxacin,58,55,94.8
Salt Lake,2024-12,Streptococcus pneumoniae,Penicillin,58,40,69.0
Salt Lake,2025-01,Enterococcus species,Ampicillin,135,83,61.5
Salt Lake,2025-01,Enterococcus species,Linezolid,135,128,94.8
Salt Lake,2025-01,Enterococcus species,Nitrofurantoin,135,107,79.3
Salt Lake,2025-01,Enterococcus species,Vancomycin,135,103,76.3
Salt Lake,2025-01,Escherichia coli,Amoxicillin-Clavulanate,585,355,60.7
Salt Lake,2025-01,Escherichia coli,Ampicillin,585,241,41.2
Salt Lake,2025-01,Escherichia coli,Ceftriaxone,585,503,86.0
Salt Lake,2025-01,Escherichia coli,Ciprofloxacin,585,425,72.6
Salt Lake,2025-01,Escherichia coli,Fosfomycin,585,530,90.6
Salt Lake,2025-01,Escherichia coli,Nitrofurantoin,585,528,90.3
Salt Lake,2025-01,Escherichia coli,TMP-SMX,585,390,66.7
Salt Lake,2025-01,Haemophilus influenzae,Amoxicillin,37,25,67.6
Salt Lake,2025-01,Haemophilus influenzae,Amoxicillin-Clavulanate,37,32,86.5
Salt Lake,2025-01,Haemophilus influenzae,Azithromycin,37,29,78.4
Salt Lake,2025-01,Haemophilus influenzae,Ceftriaxone,37,33,89.2
