patient_zip,county,organism,drug,n_tested,n_susceptible,pct_susceptible,window_start,window_end
84004,Utah,Staphylococcus aureus,Oxacillin,6,6,100.0,2026-03-31,2026-04-30
84004,Utah,Staphylococcus aureus,TMP-SMX,6,5,83.3,2026-03-31,2026-04-30
84004,Utah,Staphylococcus aureus,Vancomycin,6,6,100.0,2026-03-31,2026-04-30
84004,Utah,Streptococcus pneumoniae,Amoxicillin,2,1,50.0,2026-03-31,2026-04-30
84004,Utah,Streptococcus pneumoniae,Azithromycin,2,1,50.0,2026-03-31,2026-04-30
84004,Utah,Streptococcus pneumoniae,Ceftriaxone,2,2,100.0,2026-03-31,2026-04-30
84004,Utah,Streptococcus pneumoniae,Doxycycline,2,2,100.0,2026-03-31,2026-04-30
84004,Utah,Streptococcus pneumoniae,Levofloxacin,2,2,100.0,2026-03-31,2026-04-30
84004,Utah,Streptococcus pneumoniae,Penicillin,2,1,50.0,2026-03-31,2026-04-30
84005,Utah,Enterococcus species,Ampicillin,7,7,100.0,2026-03-31,2026-04-30
84005,Utah,Enterococcus species,Linezolid,7,7,100.0,2026-03-31,2026-04-30
84005,Utah,Enterococcus species,Nitrofurantoin,7,7,100.0,2026-03-31,2026-04-30
84005,Utah,Enterococcus species,Vancomycin,7,5,71.4,2026-03-31,2026-04-30
84005,Utah,Escherichia coli,Amoxicillin-Clavulanate,25,15,60.0,2026-03-31,2026-04-30
84005,Utah,Escherichia coli,Ampicillin,25,6,24.0,2026-03-31,2026-04-30
84005,Utah,Escherichia coli,Ceftriaxone,25,20,80.0,2026-03-31,2026-04-30
84005,Utah,Escherichia coli,Ciprofloxacin,25,15,60.0,2026-03-31,2026-04-30
84005,Utah,Escherichia coli,Fosfomycin,25,23,92.0,2026-03-31,2026-04-30
84005,Utah,Escherichia coli,Nitrofurantoin,25,22,88.0,2026-03-31,2026-04-30
84005,Utah,Escherichia coli,TMP-SMX,25,18,72.0,2026-03-31,2026-04-30
84005,Utah,Haemophilus influenzae,Amoxicillin,3,3,100.0,2026-03-31,2026-04-30
84005,Utah,Haemophilus influenzae,Amoxicillin-Clavulanate,3,3,100.0,2026-03-31,2026-04-30
84005,Utah,Haemophilus influenzae,Azithromycin,3,3,100.0,2026-03-31,2026-04-30
84005,Utah,Haemophilus influenzae,Ceftriaxone,3,3,100.0,2026-03-31,2026-04-30
84005,Utah,Haemophilus influenzae,Doxycycline,3,2,66.7,2026-03-31,2026-04-30
84005,Utah,Klebsiella pneumoniae,Amoxicillin-Clavulanate,7,5,71.4,2026-03-31,2026-04-30
84005,Utah,Klebsiella pneumoniae,Ceftriaxone,7,7,100.0,2026-03-31,2026-04-30
84005,Utah,Klebsiella pneumoniae,Ciprofloxacin,7,5,71.4,2026-03-31,2026-04-30
84005,Utah,Klebsiella pneumoniae,Ertapenem,7,5,71.4,2026-03-31,2026-04-30
84005,Utah,Klebsiella pneumoniae,Nitrofurantoin,7,2,28.6,2026-03-31,2026-04-30
84005,Utah,MRSA,Clindamycin,4,4,100.0,2026-03-31,2026-04-30
84005,Utah,MRSA,Doxycycline,4,2,50.0,2026-03-31,2026-04-30
84005,Utah,MRSA,Linezolid,4,4,100.0,2026-03-31,2026-04-30
84005,Utah,MRSA,TMP-SMX,4,4,100.0,2026-03-31,2026-04-30
84005,Utah,MRSA,Vancomycin,4,4,100.0,2026-03-31,2026-04-30
84005,Utah,Pseudomonas aeruginosa,Cefepime,6,5,83.3,2026-03-31,2026-04-30
84005,Utah,Pseudomonas aeruginosa,Ceftazidime,6,6,100.0,2026-03-31,2026-04-30
84005,Utah,Pseudomonas aeruginosa,Ciprofloxacin,6,6,100.0,2026-03-31,2026-04-30
84005,Utah,Pseudomonas aeruginosa,Meropenem,6,6,100.0,2026-03-31,2026-04-30
84005,Utah,Pseudomonas aeruginosa,Piperacillin-Tazobactam,6,6,100.0,2026-03-31,2026-04-30
84005,Utah,Staphylococcus aureus,Cephalexin,12,12,100.0,2026-03-31,2026-04-30
84005,Utah,Staphylococcus aureus,Clindamycin,12,9,75.0,2026-03-31,2026-04-30
84005,Utah,Staphylococcus aureus,Doxycycline,12,12,100.0,2026-03-31,2026-04-30
84005,Utah,Staphylococcus aureus,Oxacillin,12,12,100.0,2026-03-31,2026-04-30
84005,Utah,Staphylococcus aureus,TMP-SMX,12,12,100.0,2026-03-31,2026-04-30
84005,Utah,Staphylococcus aureus,Vancomycin,12,12,100.0,2026-03-31,2026-04-30
84005,Utah,Streptococcus pneumoniae,Amoxicillin,3,3,100.0,2026-03-31,2026-04-30
84005,Utah,Streptococcus pneumoniae,Azithromycin,3,2,66.7,2026-03-31,2026-04-30
84005,Utah,Streptococcus pneumoniae,Ceftriaxone,3,3,100.0,2026-03-31,2026-04-30
84005,Utah,Streptococcus pneumoniae,Doxycycline,3,3,100.0,2026-03-31,2026-04-30
84005,Utah,Streptococcus pneumoniae,Levofloxacin,3,3,100.0,2026-03-31,2026-04-30
84005,Utah,Streptococcus pneumoniae,Penicillin,3,2,66.7,2026-03-31,2026-04-30
84057,Utah,Enterococcus species,Ampicillin,11,7,63.6,2026-03-31,2026-04-30
84057,Utah,Enterococcus species,Linezolid,11,11,100.0,2026-03-31,2026-04-30
84057,Utah,Enterococcus species,Nitrofurantoin,11,10,90.9,2026-03-31,2026-04-30
84057,Utah,Enterococcus species,Vancomycin,11,10,90.9,2026-03-31,2026-04-30
84057,Utah,Escherichia coli,Amoxicillin-Clavulanate,48,30,62.5,2026-03-31,2026-04-30
84057,Utah,Escherichia coli,Ampicillin,48,22,45.8,2026-03-31,2026-04-30
84057,Utah,Escherichia coli,Ceftriaxone,48,41,85.4,2026-03-31,2026-04-30
84057,Utah,Escherichia coli,Ciprofloxacin,48,30,62.5,2026-03-31,2026-04-30
84057,Utah,Escherichia coli,Fosfomycin,48,46,95.8,2026-03-31,2026-04-30
84057,Utah,Escherichia coli,Nitrofurantoin,48,46,95.8,2026-03-31,2026-04-30
84057,Utah,Escherichia coli,TMP-SMX,48,40,83.3,2026-03-31,2026-04-30
84057,Utah,Haemophilus influenzae,Amoxicillin,2,1,50.0,2026-03-31,2026-04-30
84057,Utah,Haemophilus influenzae,Amoxicillin-Clavulanate,2,2,100.0,2026-03-31,2026-04-30
84057,Utah,Haemophilus influenzae,Azithromycin,2,2,100.0,2026-03-31,2026-04-30
84057,Utah,Haemophilus influenzae,Ceftriaxone,2,2,100.0,2026-03-31,2026-04-30
84057,Utah,Haemophilus influenzae,Doxycycline,2,2,100.0,2026-03-31,2026-04-30
84057,Utah,Klebsiella pneumoniae,Amoxicillin-Clavulanate,22,17,77.3,2026-03-31,2026-04-30
84057,Utah,Klebsiella pneumoniae,Ceftriaxone,22,18,81.8,2026-03-31,2026-04-30
84057,Utah,Klebsiella pneumoniae,Ciprofloxacin,22,20,90.9,2026-03-31,2026-04-30
84057,Utah,Klebsiella pneumoniae,Ertapenem,22,22,100.0,2026-03-31,2026-04-30
84057,Utah,Klebsiella pneumoniae,Nitrofurantoin,22,7,31.8,2026-03-31,2026-04-30
84057,Utah,MRSA,Clindamycin,6,6,100.0,2026-03-31,2026-04-30
84057,Utah,MRSA,Doxycycline,6,5,83.3,2026-03-31,2026-04-30
84057,Utah,MRSA,Linezolid,6,6,100.0,2026-03-31,2026-04-30
84057,Utah,MRSA,TMP-SMX,6,5,83.3,2026-03-31,2026-04-30
84057,Utah,MRSA,Vancomycin,6,6,100.0,2026-03-31,2026-04-30
84057,Utah,Pseudomonas aeruginosa,Cefepime,4,3,75.0,2026-03-31,2026-04-30
84057,Utah,Pseudomonas aeruginosa,Ceftazidime,4,4,100.0,2026-03-31,2026-04-30
84057,Utah,Pseudomonas aeruginosa,Ciprofloxacin,4,2,50.0,2026-03-31,2026-04-30
84057,Utah,Pseudomonas aeruginosa,Meropenem,4,4,100.0,2026-03-31,2026-04-30
84057,Utah,Pseudomonas aeruginosa,Piperacillin-Tazobactam,4,4,100.0,2026-03-31,2026-04-30
84057,Utah,Staphylococcus aureus,Cephalexin,11,9,81.8,2026-03-31,2026-04-30
84057,Utah,Staphylococcus aureus,Clindamycin,11,9,81.8,2026-03-31,2026-04-30
84057,Utah,Staphylococcus aureus,Doxycycline,11,11,100.0,2026-03-31,2026-04-30
84057,Utah,Staphylococcus aureus,Oxacillin,11,10,90.9,2026-03-31,2026-04-30
84057,Utah,Staphylococcus aureus,TMP-SMX,11,10,90.9,2026-03-31,2026-04-30
84057,Utah,Staphylococcus aureus,Vancomycin,11,9,81.8,2026-03-31,2026-04-30
84057,Utah,Streptococcus pneumoniae,Amoxicillin,4,3,75.0,2026-03-31,2026-04-30
84057,Utah,Streptococcus pneumoniae,Azithromycin,4,3,75.0,2026-03-31,2026-04-30
84057,Utah,Streptococcus pneumoniae,Ceftriaxone,4,4,100.0,2026-03-31,2026-04-30
84057,Utah,Streptococcus pneumoniae,Doxycycline,4,3,75.0,2026-03-31,2026-04-30
84057,Utah,Streptococcus pneumoniae,Levofloxacin,4,4,100.0,2026-03-31,2026-04-30
84057,Utah,Streptococcus pneumoniae,Penicillin,4,3,75.0,2026-03-31,2026-04-30
84058,Utah,Enterococcus species,Ampicillin,17,11,64.7,2026-03-31,2026-04-30
84058,Utah,Enterococcus species,Linezolid,17,17,100.0,2026-03-31,2026-04-30
84058,Utah,Enterococcus species,Nitrofurantoin,17,16,94.1,2026-03-31,2026-04-30
84058,Utah,Enterococcus species,Vancomycin,17,13,76.5,2026-03-31,2026-04-30
84058,Utah,Escherichia coli,Amoxicillin-Clavulanate,45,25,55.6,2026-03-31,2026-04-30
84058,Utah,Escherichia coli,Ampicillin,45,23,51.1,2026-03-31,2026-04-30
84058,Utah,Escherichia coli,Ceftriaxone,45,40,88.9,2026-03-31,2026-04-30
84058,Utah,Escherichia coli,Ciprofloxacin,45,32,71.1,2026-03-31,2026-04-30
84058,Utah,Escherichia coli,Fosfomycin,45,39,86.7,2026-03-31,2026-04-30
84058,Utah,Escherichia coli,Nitrofurantoin,45,41,91.1,2026-03-31,2026-04-30
84058,Utah,Escherichia coli,TMP-SMX,45,34,75.6,2026-03-31,2026-04-30
84058,Utah,Haemophilus influenzae,Amoxicillin,2,2,100.0,2026-03-31,2026-04-30
84058,Utah,Haemophilus influenzae,Amoxicillin-Clavulanate,2,2,100.0,2026-03-31,2026-04-30
84058,Utah,Haemophilus influenzae,Azithromycin,2,1,50.0,2026-03-31,2026-04-30
84058,Utah,Haemophilus influenzae,Ceftriaxone,2,2,100.0,2026-03-31,2026-04-30
84058,Utah,Haemophilus influenzae,Doxycycline,2,2,100.0,2026-03-31,2026-04-30
84058,Utah,Klebsiella pneumoniae,Amoxicillin-Clavulanate,12,8,66.7,2026-03-31,2026-04-30
84058,Utah,Klebsiella pneumoniae,Ceftriaxone,12,10,83.3,2026-03-31,2026-04-30
84058,Utah,Klebsiella pneumoniae,Ciprofloxacin,12,11,91.7,2026-03-31,2026-04-30
84058,Utah,Klebsiella pneumoniae,Ertapenem,12,12,100.0,2026-03-31,2026-04-30
84058,Utah,Klebsiella pneumoniae,Nitrofurantoin,12,9,75.0,2026-03-31,2026-04-30
84058,Utah,MRSA,Clindamycin,12,7,58.3,2026-03-31,2026-04-30
84058,Utah,MRSA,Doxycycline,12,11,91.7,2026-03-31,2026-04-30
84058,Utah,MRSA,Linezolid,12,12,100.0,2026-03-31,2026-04-30
84058,Utah,MRSA,TMP-SMX,12,11,91.7,2026-03-31,2026-04-30
84058,Utah,MRSA,Vancomycin,12,12,100.0,2026-03-31,2026-04-30
84058,Utah,Pseudomonas aeruginosa,Cefepime,13,9,69.2,2026-03-31,2026-04-30
84058,Utah,Pseudomonas aeruginosa,Ceftazidime,13,11,84.6,2026-03-31,2026-04-30
84058,Utah,Pseudomonas aeruginosa,Ciprofloxacin,13,9,69.2,2026-03-31,2026-04-30
84058,Utah,Pseudomonas aeruginosa,Meropenem,13,11,84.6,2026-03-31,2026-04-30
84058,Utah,Pseudomonas aeruginosa,Piperacillin-Tazobactam,13,12,92.3,2026-03-31,2026-04-30
84058,Utah,Staphylococcus aureus,Cephalexin,14,14,100.0,2026-03-31,2026-04-30
84058,Utah,Staphylococcus aureus,Clindamycin,14,12,85.7,2026-03-31,2026-04-30
84058,Utah,Staphylococcus aureus,Doxycycline,14,14,100.0,2026-03-31,2026-04-30
84058,Utah,Staphylococcus aureus,Oxacillin,14,14,100.0,2026-03-31,2026-04-30
84058,Utah,Staphylococcus aureus,TMP-SMX,14,11,78.6,2026-03-31,2026-04-30
84058,Utah,Staphylococcus aureus,Vancomycin,14,14,100.0,2026-03-31,2026-04-30
84058,Utah,Streptococcus pneumoniae,Amoxicillin,7,7,100.0,2026-03-31,2026-04-30
84058,Utah,Streptococcus pneumoniae,Azithromycin,7,3,42.9,2026-03-31,2026-04-30
84058,Utah,Streptococcus pneumoniae,Ceftriaxone,7,7,100.0,2026-03-31,2026-04-30
84058,Utah,Streptococcus pneumoniae,Doxycycline,7,7,100.0,2026-03-31,2026-04-30
84058,Utah,Streptococcus pneumoniae,Levofloxacin,7,6,85.7,2026-03-31,2026-04-30
84058,Utah,Streptococcus pneumoniae,Penicillin,7,5,71.4,2026-03-31,2026-04-30
84062,Utah,Enterococcus species,Ampicillin,12,6,50.0,2026-03-31,2026-04-30
84062,Utah,Enterococcus species,Linezolid,12,12,100.0,2026-03-31,2026-04-30
84062,Utah,Enterococcus species,Nitrofurantoin,12,6,50.0,2026-03-31,2026-04-30
84062,Utah,Enterococcus species,Vancomycin,12,8,66.7,2026-03-31,2026-04-30
84062,Utah,Escherichia coli,Amoxicillin-Clavulanate,47,33,70.2,2026-03-31,2026-04-30
84062,Utah,Escherichia coli,Ampicillin,47,18,38.3,2026-03-31,2026-04-30
84062,Utah,Escherichia coli,Ceftriaxone,47,40,85.1,2026-03-31,2026-04-30
84062,Utah,Escherichia coli,Ciprofloxacin,47,33,70.2,2026-03-31,2026-04-30
84062,Utah,Escherichia coli,Fosfomycin,47,43,91.5,2026-03-31,2026-04-30
84062,Utah,Escherichia coli,Nitrofurantoin,47,39,83.0,2026-03-31,2026-04-30
84062,Utah,Escherichia coli,TMP-SMX,47,35,74.5,2026-03-31,2026-04-30
84062,Utah,Haemophilus influenzae,Amoxicillin,1,1,100.0,2026-03-31,2026-04-30
84062,Utah,Haemophilus influenzae,Amoxicillin-Clavulanate,1,1,100.0,2026-03-31,2026-04-30
84062,Utah,Haemophilus influenzae,Azithromycin,1,1,100.0,2026-03-31,2026-04-30
84062,Utah,Haemophilus influenzae,Ceftriaxone,1,1,100.0,2026-03-31,2026-04-30
84062,Utah,Haemophilus influenzae,Doxycycline,1,1,100.0,2026-03-31,2026-04-30
84062,Utah,Klebsiella pneumoniae,Amoxicillin-Clavulanate,8,4,50.0,2026-03-31,2026-04-30
84062,Utah,Klebsiella pneumoniae,Ceftriaxone,8,7,87.5,2026-03-31,2026-04-30
84062,Utah,Klebsiella pneumoniae,Ciprofloxacin,8,7,87.5,2026-03-31,2026-04-30
84062,Utah,Klebsiella pneumoniae,Ertapenem,8,8,100.0,2026-03-31,2026-04-30
84062,Utah,Klebsiella pneumoniae,Nitrofurantoin,8,3,37.5,2026-03-31,2026-04-30
84062,Utah,MRSA,Clindamycin,14,8,57.1,2026-03-31,2026-04-30
84062,Utah,MRSA,Doxycycline,14,12,85.7,2026-03-31,2026-04-30
84062,Utah,MRSA,Linezolid,14,14,100.0,2026-03-31,2026-04-30
84062,Utah,MRSA,TMP-SMX,14,12,85.7,2026-03-31,2026-04-30
84062,Utah,MRSA,Vancomycin,14,14,100.0,2026-03-31,2026-04-30
84062,Utah,Pseudomonas aeruginosa,Cefepime,15,15,100.0,2026-03-31,2026-04-30
84062,Utah,Pseudomonas aeruginosa,Ceftazidime,15,13,86.7,2026-03-31,2026-04-30
84062,Utah,Pseudomonas aeruginosa,Ciprofloxacin,15,12,80.0,2026-03-31,2026-04-30
84062,Utah,Pseudomonas aeruginosa,Meropenem,15,13,86.7,2026-03-31,2026-04-30
84062,Utah,Pseudomonas aeruginosa,Piperacillin-Tazobactam,15,12,80.0,2026-03-31,2026-04-30
84062,Utah,Staphylococcus aureus,Cephalexin,12,12,100.0,2026-03-31,2026-04-30
84062,Utah,Staphylococcus aureus,Clindamycin,12,8,66.7,2026-03-31,2026-04-30
84062,Utah,Staphylococcus aureus,Doxycycline,12,10,83.3,2026-03-31,2026-04-30
84062,Utah,Staphylococcus aureus,Oxacillin,12,12,100.0,2026-03-31,2026-04-30
84062,Utah,Staphylococcus aureus,TMP-SMX,12,11,91.7,2026-03-31,2026-04-30
84062,Utah,Staphylococcus aureus,Vancomycin,12,12,100.0,2026-03-31,2026-04-30
84062,Utah,Streptococcus pneumoniae,Amoxicillin,5,4,80.0,2026-03-31,2026-04-30
84062,Utah,Streptococcus pneumoniae,Azithromycin,5,1,20.0,2026-03-31,2026-04-30
84062,Utah,Streptococcus pneumoniae,Ceftriaxone,5,5,100.0,2026-03-31,2026-04-30
84062,Utah,Streptococcus pneumoniae,Doxycycline,5,4,80.0,2026-03-31,2026-04-30
84062,Utah,Streptococcus pneumoniae,Levofloxacin,5,4,80.0,2026-03-31,2026-04-30
84062,Utah,Streptococcus pneumoniae,Penicillin,5,5,100.0,2026-03-31,2026-04-30
84097,Utah,Enterococcus species,Ampicillin,8,5,62.5,2026-03-31,2026-04-30
84097,Utah,Enterococcus species,Linezolid,8,8,100.0,2026-03-31,2026-04-30
84097,Utah,Enterococcus species,Nitrofurantoin,8,7,87.5,2026-03-31,2026-04-30
84097,Utah,Enterococcus species,Vancomycin,8,5,62.5,2026-03-31,2026-04-30
84097,Utah,Escherichia coli,Amoxicillin-Clavulanate,31,23,74.2,2026-03-31,2026-04-30
84097,Utah,Escherichia coli,Ampicillin,31,11,35.5,2026-03-31,2026-04-30
84097,Utah,Escherichia coli,Ceftriaxone,31,26,83.9,2026-03-31,2026-04-30
84097,Utah,Escherichia coli,Ciprofloxacin,31,21,67.7,2026-03-31,2026-04-30
84097,Utah,Escherichia coli,Fosfomycin,31,26,83.9,2026-03-31,2026-04-30
84097,Utah,Escherichia coli,Nitrofurantoin,31,29,93.5,2026-03-31,2026-04-30
84097,Utah,Escherichia coli,TMP-SMX,31,21,67.7,2026-03-31,2026-04-30
84097,Utah,Haemophilus influenzae,Amoxicillin,3,2,66.7,2026-03-31,2026-04-30
84097,Utah,Haemophilus influenzae,Amoxicillin-Clavulanate,3,3,100.0,2026-03-31,2026-04-30
84097,Utah,Haemophilus influenzae,Azithromycin,3,2,66.7,2026-03-31,2026-04-30
84097,Utah,Haemophilus influenzae,Ceftriaxone,3,3,100.0,2026-03-31,2026-04-30
84097,Utah,Haemophilus influenzae,Doxycycline,3,3,100.0,2026-03-31,2026-04-30
84097,Utah,Klebsiella pneumoniae,Amoxicillin-Clavulanate,15,8,53.3,2026-03-31,2026-04-30
84097,Utah,Klebsiella pneumoniae,Ceftriaxone,15,13,86.7,2026-03-31,2026-04-30
84097,Utah,Klebsiella pneumoniae,Ciprofloxacin,15,13,86.7,2026-03-31,2026-04-30
84097,Utah,Klebsiella pneumoniae,Ertapenem,15,15,100.0,2026-03-31,2026-04-30
84097,Utah,Klebsiella pneumoniae,Nitrofurantoin,15,7,46.7,2026-03-31,2026-04-30
84097,Utah,MRSA,Clindamycin,4,3,75.0,2026-03-31,2026-04-30
84097,Utah,MRSA,Doxycycline,4,2,50.0,2026-03-31,2026-04-30
84097,Utah,MRSA,Linezolid,4,4,100.0,2026-03-31,2026-04-30
84097,Utah,MRSA,TMP-SMX,4,4,100.0,2026-03-31,2026-04-30
84097,Utah,MRSA,Vancomycin,4,4,100.0,2026-03-31,2026-04-30
84097,Utah,Pseudomonas aeruginosa,Cefepime,12,7,58.3,2026-03-31,2026-04-30
84097,Utah,Pseudomonas aeruginosa,Ceftazidime,12,11,91.7,2026-03-31,2026-04-30
84097,Utah,Pseudomonas aeruginosa,Ciprofloxacin,12,11,91.7,2026-03-31,2026-04-30
84097,Utah,Pseudomonas aeruginosa,Meropenem,12,9,75.0,2026-03-31,2026-04-30
84097,Utah,Pseudomonas aeruginosa,Piperacillin-Tazobactam,12,8,66.7,2026-03-31,2026-04-30
84097,Utah,Staphylococcus aureus,Cephalexin,9,8,88.9,2026-03-31,2026-04-30
84097,Utah,Staphylococcus aureus,Clindamycin,9,5,55.6,2026-03-31,2026-04-30
